Point,r (m),dr (m),C,dC,q_method1 (C),dq_method1 (C),q_method2 (C),dq_method2 (C)
57.0,5.159933338434362e-07,8.24510007546678e-10,1.157318478540616,0.000348242049880227,2.053973561286617e-19,1.031891845750677e-20,1.7400949700376483e-19,8.742029811176604e-21
58.0,4.7083822205578835e-07,7.902077568680887e-10,1.172392092565705,0.0003954640729172707,1.4044950690809965e-19,7.059328531391168e-21,1.4302655262214742e-19,7.188857019859131e-21
59.0,6.485844000683765e-07,6.419760847673241e-10,1.1251747401800238,0.00020097445137211794,1.6316314338222338e-19,8.174091825650059e-21,1.6229514136135958e-19,8.130606954763687e-21
60.0,5.434785415577488e-07,1.2049575594293856e-09,1.1493681400892723,0.0004231338537533998,1.286188451074018e-19,6.4888159055537514e-21,1.4026257612147841e-19,7.076241697948632e-21
61.0,6.306320006436316e-07,5.847176459069189e-10,1.1287364682733936,0.00019863148773764747,1.4833775389020836e-19,7.429774872702435e-21,1.5489354969570129e-19,7.758134212579392e-21
62.0,5.950047202023968e-07,4.4118019105047997e-10,1.1364407954857654,0.00018517830823319996,1.9547819328716832e-19,9.785448061814022e-21,1.5844949695203325e-19,7.931827569978156e-21
63.0,5.800320541042938e-07,9.85770864616529e-10,1.1399607845815072,0.00032404185482052216,1.6411228273018887e-19,8.249728948422231e-21,1.615704963525332e-19,8.121956375208283e-21
64.0,6.466169247017191e-07,7.432346709685571e-10,1.1255554422741652,0.00022162535364172542,1.379284388033792e-19,6.914121095373369e-21,1.4666549481274018e-19,7.352095046139942e-21
65.0,6.762706213655102e-07,8.832439961290258e-10,1.1200522531081738,0.00023071554978874433,1.624062636395321e-19,8.146758607173739e-21,1.609291711431895e-19,8.072663459988531e-21
66.0,4.639060363078962e-07,5.634652264748598e-10,1.1749655895227382,0.0003202389328414575,1.5688975028023235e-19,7.866790011233967e-21,1.579627313911161e-19,7.92059159527796e-21
67.0,5.89352061038273e-07,6.146912281918277e-10,1.1377487090598513,0.00022848727040564488,1.7398599789446315e-19,8.717980959700659e-21,1.5312120709029346e-19,7.672501144312151e-21
68.0,5.847645711917615e-07,9.84962459241894e-10,1.1388287328492825,0.00031931967071088287,1.516896098294215e-19,7.624560420532273e-21,1.5462966501448255e-19,7.772340010864169e-21
70.0,5.012871857319779e-07,8.693661570583764e-10,1.1619299049838716,0.000380529246092312,1.313938942001787e-19,6.606418165664662e-21,1.439347153258913e-19,7.236964272860762e-21
71.0,6.367687242743918e-07,6.86608712058711e-10,1.127496378416165,0.0002159799007020771,1.7338308383066786e-19,8.688935593381106e-21,1.6205067894832357e-19,8.121022426967633e-21
72.0,6.466660244897983e-07,7.112883761587146e-10,1.1255459134124615,0.00021539545238950445,1.7023117387711286e-19,8.53170169630053e-21,1.5917993997233982e-19,7.977832337920673e-21
73.0,6.012536130944269e-07,8.199576190348081e-10,1.135023518369748,0.00026727591590477984,1.3559797580669517e-19,6.803852348874136e-21,1.4598596735245904e-19,7.325086978360695e-21
74.0,6.795080458231675e-07,6.288767697113853e-10,1.1194805065529851,0.00018414719581209132,2.4280171659880587e-19,1.216111088030281e-20,1.6099207671705158e-19,8.063544703192224e-21
75.0,5.018849762782799e-07,5.574625856393027e-10,1.1617371930806468,0.00027923005457168045,1.6248857993662563e-19,8.144004356655979e-21,1.6520821399134792e-19,8.280313699742162e-21
76.0,5.77194045057325e-07,9.233798757274263e-10,1.1406485515432958,0.00031160634705701916,1.656625482651384e-19,8.322777567334633e-21,1.5573144803319417e-19,7.82384561744641e-21
77.0,5.171475743970053e-07,1.1521633917407936e-09,1.1569676270229763,0.00044635527446003077,1.4940366306960314e-19,7.538048868208974e-21,1.6403534817113605e-19,8.276279478178805e-21
78.0,5.022793212768468e-07,1.6579902655596584e-09,1.1616103174060668,0.0006329626744163187,1.565177432072757e-19,7.979371418680894e-21,1.4730583002442142e-19,7.509742383298659e-21
79.0,5.032394300662919e-07,9.228138367665926e-10,1.1613022443824863,0.0003951003778160919,1.3998870059695515e-19,7.043006330918952e-21,1.4513130483404793e-19,7.301737171656843e-21
